iter	RMSE
0	261954.7276
1	254344.0129
2	246525.5256
3	239781.795
4	233261.1715
5	227057.7086
6	221539.1078
7	216444.299
8	210651.1377
9	205421.9948
10	200418.3104
11	195928.7479
12	191356.2
13	186890.8932
14	182420.5217
15	179028.6193
16	175596.5397
17	172281.4167
18	168893.3821
19	165841.9847
20	163131.0727
21	160256.7991
22	157653.4271
23	155241.5167
24	152625.3958
25	150702.7428
26	148639.1858
27	146962.7463
28	144780.8998
29	142991.6335
30	141572.0796
31	139960.8854
32	138284.8913
33	136761.2316
34	135309.6817
35	133791.2413
36	132452.3088
37	131063.5206
38	129617.1699
39	128320.1947
40	127543.2587
41	126525.8755
42	125472.9644
43	124391.1112
44	123139.9286
45	122277.2496
46	121462.665
47	120404.2416
48	119463.8783
49	118646.4343
50	117723.0308
51	116900.312
52	116244.3122
53	115355.7024
54	114706.6151
55	113882.2976
56	113280.4432
57	112484.807
58	111650.9308
59	110859.6056
60	110094.6987
61	109580.093
62	108913.7872
63	108352.8265
64	107718.1861
65	107258.6784
66	106746.7444
67	106138.7537
68	105773.7002
69	105225.0834
70	104635.2752
71	104062.8469
72	103770.5717
73	103413.4091
74	102858.1707
75	102621.441
76	102248.1234
77	101758.0868
78	101218.5753
79	100745.5176
80	100282.6397
81	99808.17075
82	99369.70144
83	99194.44447
84	98629.40063
85	98216.79743
86	97710.90123
87	97286.41785
88	96850.74399
89	96611.77795
90	96111.74456
91	95726.8538
92	95389.68993
93	95037.07769
94	94831.78587
95	94470.83994
96	94122.16231
97	93882.27769
98	93631.47197
99	93356.15467
100	93083.61167
101	92727.98231
102	92667.78753
103	92349.42847
104	92060.76541
105	91770.99074
106	91616.75592
107	91272.21483
108	91176.50157
109	90787.39684
110	90439.47761
111	90119.5592
112	89788.84159
113	89637.79031
114	89358.16581
115	89141.25235
116	88826.7374
117	88716.02568
118	88441.41567
119	88141.45655
120	87981.21596
121	87702.89246
122	87592.35528
123	87538.97103
124	87306.19873
125	87253.86573
126	87188.50741
127	86916.43359
128	86652.91029
129	86408.85653
130	86367.41256
131	86245.41218
132	86039.40419
133	85900.16408
134	85584.60952
135	85539.86906
136	85250.81578
137	85066.02627
138	84858.79668
139	84783.73606
140	84745.14145
141	84470.92268
142	84238.10319
143	83992.99493
144	83657.37366
145	83555.86522
146	83462.35727
147	83235.66007
148	83025.78374
149	82924.95671
150	82638.11079
151	82553.80308
152	82281.14434
153	82030.00058
154	81862.54804
155	81623.58006
156	81548.26939
157	81515.4175
158	81309.66424
159	81129.79313
160	80953.28939
161	80868.4128
162	80643.90227
163	80387.18641
164	80186.42966
165	79948.4827
166	79699.25363
167	79414.42273
168	79393.65386
169	79174.59857
170	79102.9326
171	78963.5826
172	78720.69307
173	78652.68556
174	78559.64903
175	78488.93161
176	78361.62936
177	78303.73945
178	78274.24197
179	77951.6325
180	77680.23531
181	77636.48944
182	77535.3429
183	77271.48282
184	77213.8878
185	77158.95189
186	76908.77673
187	76677.14787
188	76602.50024
189	76492.534
190	76241.02314
191	75982.78286
192	75949.87017
193	75676.39107
194	75479.43079
195	75229.16811
196	75181.86468
197	74912.81386
198	74700.41156
199	74661.40809
200	74464.21202
201	74256.98176
202	74041.26177
203	73838.49852
