iter	Passed	Remaining
0	0	840
1	1	720
2	2	686
3	2	668
4	3	647
5	4	665
6	4	661
7	5	652
8	5	646
9	6	642
10	7	637
11	7	631
12	8	629
13	8	624
14	9	626
15	10	634
16	10	634
17	11	634
18	12	630
19	12	626
20	13	622
21	13	620
22	14	617
23	15	622
24	16	630
25	16	636
26	17	634
27	18	631
28	18	629
29	19	626
30	19	624
31	20	622
32	21	624
33	22	625
34	22	625
35	23	624
36	23	621
37	24	618
38	25	617
39	25	615
40	26	613
41	27	616
42	27	617
43	28	616
44	28	614
45	29	612
46	30	610
47	30	608
48	31	606
49	31	605
50	32	605
51	33	606
52	34	612
53	34	612
54	35	612
55	36	610
56	36	608
57	37	606
58	37	604
59	38	607
60	39	607
61	40	606
62	40	604
63	41	602
64	41	600
65	42	599
66	42	598
67	43	599
68	44	605
69	45	607
70	46	605
71	46	603
72	47	602
73	47	600
74	48	598
75	49	597
76	49	598
77	50	598
78	51	597
79	51	596
80	52	594
81	53	593
82	53	592
83	54	590
84	54	589
85	55	590
86	56	591
87	57	592
88	57	593
89	58	593
90	59	593
91	60	594
92	60	594
93	61	595
94	62	596
95	63	596
96	64	596
97	64	592
98	64	590
99	65	589
100	66	588
101	66	587
102	67	587
103	67	584
104	68	583
105	69	582
106	69	580
107	70	579
108	70	576
109	71	575
110	71	574
111	72	574
112	73	576
113	74	575
114	74	574
115	75	573
116	75	572
117	76	571
118	76	568
119	77	566
120	77	565
121	78	566
122	79	565
123	79	564
124	80	563
125	81	563
126	81	561
127	82	560
128	82	559
129	83	559
130	84	558
131	84	558
132	85	558
133	86	557
134	86	556
135	87	555
136	87	553
137	88	552
138	89	552
139	89	552
140	90	551
141	91	551
142	91	550
143	92	549
144	92	548
145	93	547
146	94	546
147	94	545
148	95	545
149	96	544
150	96	543
151	97	542
152	97	541
153	98	540
154	98	539
155	99	538
156	100	537
157	100	537
158	101	537
159	102	536
160	102	534
161	103	533
162	103	532
163	104	531
164	104	530
165	105	529
166	106	528
167	106	528
168	107	527
169	107	526
170	108	526
171	109	525
172	109	524
173	110	523
174	110	522
175	111	521
176	112	521
177	112	521
178	113	521
179	114	521
180	115	520
181	115	520
182	116	520
183	117	519
184	117	519
185	118	519
186	119	518
187	119	517
188	120	517
189	121	516
190	121	515
191	122	514
192	122	513
193	123	512
194	124	512
195	124	512
196	125	511
197	126	513
198	127	513
199	128	513
200	129	513
201	130	515
202	131	516
203	132	516
204	133	515
205	133	514
206	134	513
207	134	512
208	135	512
209	136	511
210	136	510
211	137	509
212	137	509
213	138	508
214	138	507
215	139	506
216	140	505
217	140	504
218	141	504
219	142	503
220	142	503
221	143	502
222	143	501
223	144	500
224	144	499
225	145	498
226	146	497
227	146	497
228	147	497
229	148	496
230	148	495
231	149	494
232	150	494
233	150	493
234	151	492
235	151	491
236	152	490
237	153	490
238	153	489
239	154	488
240	154	487
241	155	487
242	156	486
243	156	485
244	157	484
245	157	484
246	158	484
247	159	483
248	159	482
249	160	481
250	161	480
251	161	479
252	162	478
253	162	478
254	163	477
255	163	476
256	164	475
257	165	475
258	165	474
259	166	473
260	166	472
261	167	471
262	168	470
263	168	470
264	169	469
265	170	469
266	170	468
267	171	468
268	171	467
269	172	466
270	173	465
271	173	465
272	174	464
273	174	463
274	175	463
275	176	462
276	177	462
277	177	461
278	178	460
279	178	459
280	179	458
281	179	458
282	180	457
283	181	456
284	182	456
285	182	456
286	183	456
287	184	455
288	184	454
289	185	453
290	185	452
291	186	452
292	187	452
293	188	452
294	188	451
295	189	450
296	190	449
297	190	448
298	191	448
299	191	447
300	192	446
301	193	446
302	193	445
303	194	444
304	194	443
305	195	443
306	195	442
307	196	441
308	197	440
309	197	440
310	198	439
311	199	439
312	199	438
313	200	437
314	200	437
315	201	436
316	202	435
317	202	434
318	203	434
319	204	433
320	204	433
321	205	432
322	206	432
323	206	431
324	207	430
325	207	429
326	208	428
327	209	428
328	210	428
329	210	427
330	211	426
331	211	426
332	212	425
333	212	424
334	213	423
335	214	423
336	214	422
337	215	422
338	216	421
339	216	420
340	217	420
341	217	419
342	218	418
343	219	417
344	219	417
345	220	416
346	221	415
347	221	415
348	222	415
349	223	414
350	223	414
351	224	413
352	225	412
353	225	411
354	226	411
355	227	411
356	227	410
357	228	409
358	229	409
